collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos,speed_x_area
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,4.5,-0.30070579950427306,-0.9537169507482269,0.43388373911755823,-0.900968867902419,30
3,6,30,1,0,-1,6,1,1,0,2,2,8,0,5.5,0.8241261886220157,0.5664062369248328,0.7818314824680298,0.6234898018587336,30
3,6,30,1,0,-1,1,1,1,0,2,1,2,0,8.0,0.5699967625963032,-0.8216469379421636,-0.7818314824680299,0.6234898018587334,30
2,6,30,1,17,2,1,1,1,0,2,1,3,0,20.5,0.7372773368101241,-0.6755902076156602,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,16,2,1,1,1,0,2,1,9,0,9.5,-0.44228869021900147,-0.8968727415326883,-0.7818314824680299,0.6234898018587334,30
3,6,30,2,13,4,1,1,1,0,1,1,19,0,3.0,-0.8681988144891424,-0.4962165036752081,0.43388373911755823,-0.900968867902419,60
3,6,30,1,16,2,4,5,2,0,2,1,9,0,6.5,-0.964787323828813,-0.2630312144579744,0.9749279121818236,-0.22252093395631434,30
3,6,30,1,18,4,1,1,1,0,2,1,3,0,7.0,-0.9762960071199334,-0.21643961393810282,-2.4492935982947064e-16,1.0,30
3,6,30,2,0,-1,1,1,2,0,1,1,11,0,7.0,0.8433914458128858,-0.5372996083468236,0.9749279121818236,-0.22252093395631434,60
3,6,30,2,0,-1,1,1,1,0,2,3,9,0,11.0,-0.9914448613738104,-0.13052619222005163,-0.9749279121818236,-0.2225209339563146,60
